"date","category","name","date"
"03-8-23","meat","Prime 16 oz. Ribeye","$32.99 - $39.99"
"03-8-23","meat","Prime 12 oz. Ribeye Steak","$27.99 - $34.99"
"03-8-23","meat","Prime 8 oz. Ribeye Steak","$22.99 - $29.99"
"03-8-23","meat","Prime 12 oz. Strip Steak","$27.99 - $34.99"
"03-8-23","meat","Prime 8 oz. Strip Steak","$22.99 - $29.99"
"03-8-23","meat","Prime 8 oz. Filet Mignon","$27.99 - $34.99"
"03-8-23","meat","Prime 6 oz. Filet Mignon","$22.99 - $29.99"
"03-8-23","meat","Prime 10 oz. Sirloin","$22.99 - $29.99"
"03-8-23","meat","Prime 8 oz. Sirloin","$20.99 - $27.99"
"03-8-23","meat","U-10 Jumbo USA Sea Scallops","$29.99"
"03-8-23","meat","Salmon Filet (Two 6 oz. portions)","$14.99"
"03-8-23","meat","Cold Water Lobster Tails","$29.99"
